track_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
She's A Beauty,The Tubes,spotify:track:6lnP51cMlqpZ8bwmyVlgvG,0.694,0.787,2,-9.569,1,0.0363,0.0913,0.0106,0.0562,0.667,111.157,audio_features,6lnP51cMlqpZ8bwmyVlgvG,https://api.spotify.com/v1/tracks/6lnP51cMlqpZ8bwmyVlgvG,https://api.spotify.com/v1/audio-analysis/6lnP51cMlqpZ8bwmyVlgvG,237240,4
Can I Kick It?,A Tribe Called Quest,spotify:track:5WD1lEPaIBOoGYADacfFVS,0.868,0.648,4,-9.468,0,0.271,0.176,0.0161,0.111,0.754,96.673,audio_features,5WD1lEPaIBOoGYADacfFVS,https://api.spotify.com/v1/tracks/5WD1lEPaIBOoGYADacfFVS,https://api.spotify.com/v1/audio-analysis/5WD1lEPaIBOoGYADacfFVS,252493,4
Resurrection Shuffle,"Ashton, Gardner & Dyke",spotify:track:6cj7uLVGo3jK2ZjP9JZtZI,0.622,0.875,0,-4.794,1,0.0484,0.292,0.000367,0.155,0.807,98.726,audio_features,6cj7uLVGo3jK2ZjP9JZtZI,https://api.spotify.com/v1/tracks/6cj7uLVGo3jK2ZjP9JZtZI,https://api.spotify.com/v1/audio-analysis/6cj7uLVGo3jK2ZjP9JZtZI,193787,4
I'm So Excited,The Pointer Sisters,spotify:track:2u8MGAiS2hBVE7GZzTZLQI,0.685,0.858,8,-6.496,1,0.0348,0.104,0.000119,0.147,0.692,92.305,audio_features,2u8MGAiS2hBVE7GZzTZLQI,https://api.spotify.com/v1/tracks/2u8MGAiS2hBVE7GZzTZLQI,https://api.spotify.com/v1/audio-analysis/2u8MGAiS2hBVE7GZzTZLQI,229467,4
Don't Leave Me This Way,Thelma Houston,spotify:track:4Af8yzidDPc520TFd4TmkE,0.553,0.839,0,-5.844,0,0.116,0.153,6e-05,0.13,0.673,121.819,audio_features,4Af8yzidDPc520TFd4TmkE,https://api.spotify.com/v1/tracks/4Af8yzidDPc520TFd4TmkE,https://api.spotify.com/v1/audio-analysis/4Af8yzidDPc520TFd4TmkE,217733,4
Def Con One,Pop Will Eat Itself,spotify:track:6xSeRf2NVCj17HQ2UCSH56,0.727,0.828,2,-6.952,1,0.0472,0.0218,0.00191,0.477,0.812,118.382,audio_features,6xSeRf2NVCj17HQ2UCSH56,https://api.spotify.com/v1/tracks/6xSeRf2NVCj17HQ2UCSH56,https://api.spotify.com/v1/audio-analysis/6xSeRf2NVCj17HQ2UCSH56,240160,4
Glad To Know You,Chaz Jankel,spotify:track:2rYRPHneYjjmd6nXUqnApR,0.766,0.787,5,-7.955,0,0.0478,0.00344,0.865,0.0832,0.962,116.815,audio_features,2rYRPHneYjjmd6nXUqnApR,https://api.spotify.com/v1/tracks/2rYRPHneYjjmd6nXUqnApR,https://api.spotify.com/v1/audio-analysis/2rYRPHneYjjmd6nXUqnApR,393000,4
"Sorry, I'm a Lady",Baccara,spotify:track:7DCcFDKX4yKeFlgkphNXUV,0.591,0.873,8,-7.093,0,0.0847,0.273,3.69e-06,0.0809,0.723,127.734,audio_features,7DCcFDKX4yKeFlgkphNXUV,https://api.spotify.com/v1/tracks/7DCcFDKX4yKeFlgkphNXUV,https://api.spotify.com/v1/audio-analysis/7DCcFDKX4yKeFlgkphNXUV,218640,4
D.I.S.C.O - French Version,Ottawan,spotify:track:4fXHwV5UGz7vTwYE6th0Ux,0.709,0.862,7,-5.391,0,0.0737,0.283,0.000221,0.57,0.947,123.006,audio_features,4fXHwV5UGz7vTwYE6th0Ux,https://api.spotify.com/v1/tracks/4fXHwV5UGz7vTwYE6th0Ux,https://api.spotify.com/v1/audio-analysis/4fXHwV5UGz7vTwYE6th0Ux,199653,4
Can U Dig It?,Pop Will Eat Itself,spotify:track:6KQZGEf6ChMySpzRLfbURs,0.654,0.89,9,-6.514,0,0.0906,0.00204,0.0,0.272,0.684,129.014,audio_features,6KQZGEf6ChMySpzRLfbURs,https://api.spotify.com/v1/tracks/6KQZGEf6ChMySpzRLfbURs,https://api.spotify.com/v1/audio-analysis/6KQZGEf6ChMySpzRLfbURs,195320,4
